订单号,日期,渠道,商品ID,商品名称,单价,数量,金额,用户ID,收货省份,订单状态
DD202401244,2024/12/4,拼多多,P030,南极人 棉袜5双装 ,29.9,0.0,,U0186,北京,已完成
DD202401197,2024/5/16,京东,P044,良品铺子 零食大礼包,139,1.0,139.0,U0023,安徽,已发货
DD202401572,2024-01-20,京东,P037,海飞丝 洗发水,¥59.9,-3.0,-179.7,U0122,宁夏,已退款
DD202400801,2024/4/30,微信小程序,P035,欧莱雅洗面奶,129,3.0,387.0,U0055,黑龙江,已发货
DD202400150,2024-04-06,京东,P035,欧莱雅 洗面奶,129,5.0,645.0,U0181,重庆,已发货
DD202402913,2024-02-20,京东,P040,三只松鼠坚果礼盒,99,1.0,99.0,U0029,内蒙古,已取消
DD202401646,2024-08-03,天猫,P004,小米 14 12+256G,4299,2.0,8598.0,U0124,广东,已完成
DD202400680,2024-03-22,天猫,P012,机械键盘 87键,199,3.0,597.0,U0064,云南,已完成
DD202402356,2024-07-08,京东,P033,兰蔻 小黑瓶精华 ,,,,U0095,湖北,已发货
DD202402865,2024-09-17,拼多多,P041,蒙牛 纯牛奶24盒,69.9,2.0,139.8,U0182,甘肃,已完成
DD202400069,2024-12-16,拼多多,P009,小米手环8,249,1.0,249.0,U0013,湖北,已完成
DD202402213,2024/12/9,抖音,P032,太平鸟牛仔裤,259,-3.0,-777.0,U0016,天津,已退款
DD202402903,2024-07-16,京东,P041,蒙牛 纯牛奶24盒,69.9,2.0,139.8,U0125,云南,已完成
DD202401439,2024-06-29,拼多多,P010,小米 充电宝20000mAh,¥129,1.0,129.0,U0192,广西,待发货
DD202401727,2024-12-26,天猫,P009,小米手环8,¥249,1.0,249.0,U0040,重庆,已发货
DD202400862,2024/9/23,京东,P019,海尔 10kg 滚筒洗衣机,¥1899,5.0,9495.0,U0170,吉林,待发货
DD202400501,2024-12-03,天猫,P027,优衣库 圆领T恤,79,4.0,316.0,U0033,河南,已发货
DD202400377,2024-11-01,抖音,P040,三只松鼠 坚果礼盒,99,3.0,297.0,U0178,北京,已完成
DD202402039,2024/1/16,天猫,P049,苏泊尔 炒锅,159,5.0,795.0,U0002,河南,已完成
DD202401934,2024-02-09,抖音,P047,全棉时代 浴巾,79,2.0,158.0,U0042,甘肃,已发货
DD202401739,2024-07-10,京东,P024,戴森 V12 吸尘器,3290,4.0,13160.0,U0122,宁夏,待发货
DD202402834,2024/8/24,京东,P019,海尔 10kg 滚筒洗衣机,1899,4.0,7596.0,U0171,新疆,待发货
DD202402884,2024/11/30,天猫,P044,良品铺子 零食大礼包,139,1.0,139.0,,福建,已发货
DD202402957,2024-11-02,天猫,P005,荣耀 magic6,3999,5.0,19995.0,U0037,江西,已完成
DD202401141,2024-05-26,天猫,P026,小米电视 65寸,2999,2.0,5998.0,U0180,吉林,已完成
DD202401519,2024-10-15,天猫,P010,小米 充电宝20000mah,129,1.0,129.0,U0092,青海,已发货
DD202400611,2024-05-06,拼多多,P045,金龙鱼 食用油5L,¥89.9,5.0,449.5,U0048,新疆,已取消
DD202402288,2024-02-27,拼多多,P025,海尔冰箱 501L,3999,4.0,15996.0,U0054,重庆,已发货
DD202402649,2024-04-25,京东,P009,小米手环8,¥249,1.0,249.0,U0085,内蒙古,已取消
DD202400303,2024-06-18,天猫,P027,优衣库圆领T恤,¥79,3.0,237.0,U0144,陕西,已发货
DD202401394,2024-01-05,京东,P016,得力 A4 打印纸,29.9,3.0,89.69999999999999,U0108,山西,已完成
DD202401901,2024-02-16,抖音,P023,九阳破壁机,399,4.0,1596.0,U0121,吉林,已发货
DD202402439,2024-10-15,拼多多,P034,雅诗兰黛小棕瓶,950,1.0,950.0,U0197,宁夏,已完成
DD202402089,2024-06-18,拼多多,P026,小米电视 65寸 ,¥2999,4.0,5998.0,U0072,浙江,已取消
DD202400947,2024-01-07,天猫,P048,公牛插线板,49.9,5.0,249.5,U0107,宁夏,已完成
DD202402383,2024-03-16,天猫,,海尔 10kg 滚筒洗衣机,¥1899,2.0,3798.0,U0016,黑龙江,已完成
DD202400024,2024/11/15,京东,P001,iPhone 15 128G,5999,4.0,23996.0,U0067,吉林,已完成
DD202401617,2024-08-03,拼多多,P004,小米 14 12+256G,"4,299",5.0,21495.0,U0116,云南,已完成
DD202400523,2024/2/20,天猫,P032,太平鸟 牛仔裤,259,3.0,777.0,U0119,黑龙江,已发货
DD202401758,2024-03-06,微信小程序,P025,海尔冰箱501L,3999,-1.0,-3999.0,U0041,陕西,已退款
DD202402454,2024-09-01,天猫,P015,华为平板 MatePad 11,2199,4.0,8796.0,U0038,重庆,已完成
DD202400918,2024-06-08,天猫,P029,阿迪达斯运动外套,599,1.0,599.0,U0129,辽宁,已完成
DD202401569,2024-07-03,京东,P037,海飞丝洗发水,59.9,4.0,239.6,U0056,辽宁,已完成
DD202400842,2024/5/8,京东,P010,小米 充电宝20000mah,¥129,5.0,645.0,U0084,广东,待发货
DD202401104,20241010,拼多多,P021,米家扫地机器人,¥1599,3.0,4797.0,U0013,甘肃,已完成
DD202401706,2024-08-21,天猫,P013,戴尔 U2723QE 显示器,3499,5.0,17495.0,U0078,内蒙古,待发货
DD202400705,2024/3/12,天猫,P024,戴森V12吸尘器,¥3290,3.0,,U0178,湖北,已完成
DD202400756,2024-08-18,天猫,P001,iphone 15 128g,5999,2.0,11998.0,U0115,宁夏,待发货
DD202400159,2024-02-15,抖音,P029,阿迪达斯 运动外套,599,5.0,2995.0,U0002,北京,已完成
DD202402651,2024-10-22,天猫,P010,小米 充电宝20000mAh,129,4.0,516.0,U0097,青海,已完成
DD202400635,2024-11-08,天猫,P031,波司登 羽绒服,1299,1.0,1299.0,U0112,浙江,已完成
DD202400218,2024-12-06,拼多多,P036,云南白药 牙膏 ,39.9,0.0,,U0060,江西,已完成
DD202402831,2024-06-15,京东,P012,机械键盘 87键,199,-2.0,-398.0,U0135,辽宁,已退款
DD202400660,2024/4/2,天猫,P039,完美日记口红,89,5.0,445.0,U0036,北京,已发货
DD202401754,2024-11-20,抖音,P019,海尔 10kg 滚筒洗衣机 ,1899,1.0,1899.0,U0113,河北,已完成
DD202400591,2024-01-31,天猫,P013,戴尔U2723QE显示器,3499,-1.0,-3499.0,U0091,广西,已退款
DD202402303,2024-09-28,天猫,P050,宜家 收纳箱,69,1.0,69.0,U0116,湖北,待发货
DD202402105,2024/3/9,拼多多,P015,华为平板 MatePad 11,¥2199,1.0,2199.0,U0108,四川,已完成
DD202400641,2024-09-20,京东,P014,联想小新 Pro16 笔记本,5799,-1.0,-5799.0,U0070,湖北,已退款
DD202401338,2024-08-21,京东,P021,米家扫地机器人,1599,-1.0,-1599.0,U0121,湖北,已退款
DD202402411,2024-05-30,天猫,P032,太平鸟 牛仔裤,259,3.0,777.0,U0041,四川,已完成
DD202400016,2024/7/6,拼多多,P029,阿迪达斯 运动外套,599,-2.0,-1198.0,U0114,上海,已退款
DD202402757,2024-03-07,天猫,P002,iPhone 15 Pro 256G,"8,999",1.0,8999.0,U0162,辽宁,已完成
DD202400902,2024-01-16,抖音,P008,索尼WH-1000XM5耳机,2399,-2.0,-4798.0,U0081,湖北,已退款
DD202402623,2024-12-26,天猫,P045,金龙鱼 食用油5L ,89.9,2.0,,U0177,甘肃,已完成
DD202401568,2024-04-09,天猫,P048,公牛 插线板,49.9,4.0,199.6,U0038,江苏,已取消
DD202400710,20240202,天猫,P008,索尼 wh-1000xm5 耳机,2399,1.0,2399.0,U0073,内蒙古,待发货
DD202400179,2024-04-05,拼多多,P029,阿迪达斯 运动外套,¥599,5.0,1497.5,U0108,辽宁,待发货
DD202402266,2024-05-25,天猫,P007,AirPods Pro 2 ,"1,899",2.0,3798.0,U0077,河南,已完成
DD202401971,2024-12-27,天猫,P019,海尔 10kg 滚筒洗衣机 ,1899,4.0,7596.0,U0069,贵州,已完成
DD202400914,2024/6/10,天猫,P025,海尔冰箱 501L,3999,4.0,15996.0,U0194,,已完成
DD202400257,2024-09-14,拼多多,P045,金龙鱼 食用油5L,89.9,3.0,269.70000000000005,U0143,上海,已取消
DD202401902,2024-01-24,天猫,P009,小米手环8,249,5.0,1245.0,U0024,浙江,已发货
DD202400639,2024-09-20,拼多多,P019,海尔 10kg 滚筒洗衣机,,3.0,,U0079,吉林,已完成
DD202402804,2024-02-29,天猫,P006,redmi k70,"2,499",4.0,9996.0,U0179,内蒙古,已完成
DD202402589,,抖音,P029,阿迪达斯 运动外套,599,3.0,1797.0,U0045,江西,已完成
DD202400858,2024-06-25,京东,P035,欧莱雅 洗面奶,129,2.0,258.0,U0178,黑龙江,待发货
DD202401822,2024-05-08,京东,P002,iphone 15 pro 256g,8999,2.0,17998.0,U0145,陕西,已完成
DD202400496,2024-03-16,微信小程序,P026,小米电视 65寸,¥2999,1.0,2999.0,U0153,黑龙江,已完成
DD202400761,2024-07-15,天猫,P040,三只松鼠 坚果礼盒,¥99,1.0,99.0,U0125,陕西,已完成
DD202400522,2024-08-08,天猫,P040,三只松鼠 坚果礼盒,¥99,5.0,495.0,U0185,上海,已发货
DD202400084,2024-11-08,天猫,P001,iPhone 15 128G,¥5999,1.0,,U0080,黑龙江,已取消
DD202400300,2024-06-20,拼多多,P023,九阳破壁机 ,399,2.0,798.0,U0066,云南,已完成
DD202401120,2024-02-16,抖音,P041,蒙牛 纯牛奶24盒,¥69.9,5.0,349.5,U0142,河南,已完成
DD202401078,2024-04-06,拼多多,P050,宜家收纳箱,¥69,-1.0,-69.0,U0120,甘肃,已退款
DD202402313,2024-07-28,天猫,P038,全棉时代 洗脸巾 ,¥49.9,-3.0,-149.7,U0121,河北,已退款
DD202401269,2024-06-13,天猫,P046,网易严选 保温杯,99,3.0,297.0,U0093,山西,已完成
DD202401578,2024-05-02,天猫,P037,海飞丝 洗发水,¥59.9,3.0,179.7,U0071,辽宁,已完成
DD202402990,2024-05-21,天猫,P009,小米手环8,¥249,3.0,747.0,U0103,宁夏,已取消
DD202400246,2024-05-14,天猫,P046,网易严选 保温杯,99,2.0,198.0,U0057,安徽,已发货
DD202401858,2024-08-14,京东,P047,全棉时代 浴巾,79,4.0,316.0,U0175,河北,已完成
DD202401621,2024-07-27,拼多多,P026,小米电视 65寸,¥2999,3.0,8997.0,U0117,河南,已完成
DD202400850,2024/1/8,京东,P004,小米 14 12+256G,4299,5.0,21495.0,U0072,新疆,已发货
DD202402868,2024-03-01,微信小程序,P039,完美日记 口红,¥89,-3.0,-267.0,U0150,云南,已退款
DD202401424,2024-07-15,拼多多,P008,索尼 wh-1000xm5 耳机,"2,399",5.0,11995.0,U0079,内蒙古,待发货
DD202400079,2024-09-24,天猫,P011,罗技MXMaster3S鼠标,699,5.0,3495.0,U0036,上海,已完成
DD202401992,2024-09-20,微信小程序,P033,兰蔻 小黑瓶精华,¥760,1.0,760.0,U0173,福建,已发货
DD202401151,2024-06-18,抖音,P006,Redmi K70,2499,4.0,,U0098,云南,已完成
DD202400752,2024-12-12,微信小程序,P043,星巴克咖啡豆,¥128,-3.0,-384.0,U0181,北京,已退款
DD202401506,2024-04-24,京东,P001,iPhone 15 128G,5999,-3.0,-8998.5,U0163,浙江,已退款
DD202402108,2024-05-19,拼多多,P046,网易严选保温杯,99,4.0,396.0,U0175,重庆,已发货
DD202400878,2024-12-09,京东,P042,农夫山泉矿泉水,36,-2.0,-72.0,U0087,甘肃,已退款
DD202401152,2024-01-30,京东,P033,兰蔻小黑瓶精华,¥760,5.0,3800.0,U0025,四川,已完成
DD202402656,2024/1/21,拼多多,P047,全棉时代 浴巾,79,4.0,316.0,U0165,重庆,已取消
DD202402714,2024-12-19,拼多多,P030,南极人 棉袜5双装,29.9,4.0,119.6,U0166,广西,已完成
DD202401914,2024-02-04,抖音,P034,雅诗兰黛 小棕瓶,950,2.0,1900.0,U0135,河南,待发货
DD202401308,2024-07-21,天猫,P007,AirPodsPro2,1899,3.0,5697.0,U0105,海南,已完成
DD202402127,2024-07-29,京东,P006,Redmi K70 ,2499,4.0,9996.0,U0112,甘肃,待发货
DD202400483,2024-02-20,拼多多,P023,九阳破壁机,399,2.0,798.0,U0132,河北,待发货
DD202402330,2024-02-17,天猫,P015,华为平板 MatePad 11,2199,1.0,2199.0,U0176,河南,已完成
DD202400192,2024/7/5,京东,P029,阿迪达斯 运动外套,¥599,1.0,,U0106,福建,已完成
DD202402301,2024-08-02,,P014,联想小新 Pro16 笔记本,"5,799",3.0,17397.0,U0026,福建,已完成
DD202401689,2024/6/6,抖音,P026,小米电视65寸,¥2999,-3.0,-8997.0,U0120,内蒙古,已退款
DD202400099,2024-07-10,拼多多,P014,联想小新 Pro16 笔记本,¥5799,1.0,5799.0,U0142,山西,已发货
DD202402719,2024-02-02,拼多多,P045,金龙鱼 食用油5L,¥89.9,1.0,89.9,U0131,江苏,已完成
DD202401220,2024-10-04,京东,P004,小米 14 12+256G,"4,299",,,U0054,辽宁,待发货
DD202401869,20240523,抖音,P035,欧莱雅 洗面奶,¥129,1.0,129.0,U0200,山西,已完成
DD202402686,2024-01-19,京东,P001,iPhone 15 128G,5999,-3.0,-17997.0,U0170,山东,已退款
DD202400559,2024-01-12,京东,P030,南极人 棉袜5双装,29.9,5.0,149.5,U0171,云南,待发货
DD202401222,2024/3/12,京东,P001,iPhone 15 128G,¥5999,2.0,11998.0,,河北,已发货
DD202401438,2024/8/9,天猫,P031,波司登 羽绒服,¥1299,1.0,1299.0,U0013,宁夏,待发货
DD202401598,2024-08-07,微信小程序,P043,星巴克 咖啡豆,¥128,2.0,256.0,U0172,贵州,待发货
DD202402029,2024-08-29,天猫,P046,网易严选 保温杯,,3.0,,U0024,天津,已完成
DD202400952,2024-07-09,,P046,网易严选 保温杯,¥99,1.0,99.0,U0100,湖北,已发货
DD202402934,2024-02-16,拼多多,P036,云南白药 牙膏,¥39.9,1.0,39.9,U0001,内蒙古,已完成
DD202400348,2024/12/12,天猫,P015,华为平板 MatePad 11,2199,4.0,8796.0,U0021,重庆,已完成
DD202400053,2024-01-19,抖音,P013,戴尔 u2723qe 显示器,3499,5.0,17495.0,U0054,安徽,已完成
DD202402385,2024/3/26,京东,P032,太平鸟 牛仔裤,259,0.0,,U0070,河北,已完成
DD202401410,2024-05-06,京东,P044,良品铺子 零食大礼包,¥139,1.0,139.0,U0159,江西,已完成
DD202400486,2024-08-06,天猫,P002,iphone 15 pro 256g,8999,3.0,26997.0,U0143,重庆,已完成
DD202401356,2024/7/17,拼多多,P007,airpods pro 2,¥1899,1.0,1899.0,U0100,福建,已完成
DD202401484,2024-01-09,拼多多,P005,荣耀Magic6,"3,999",2.0,7998.0,U0185,辽宁,已完成
DD202400536,2024-11-16,微信小程序,P043,星巴克 咖啡豆,128,4.0,512.0,U0006,云南,已完成
DD202400688,2024-08-09,京东,P046,网易严选 保温杯,¥99,2.0,198.0,U0097,山东,已完成
DD202400410,2024-06-04,天猫,P030,南极人 棉袜5双装,,5.0,,U0105,辽宁,待发货
DD202402461,20240226,,P011,罗技 MX Master 3S 鼠标,699,2.0,1398.0,U0175,山东,待发货
DD202401124,2024-10-13,天猫,P004,小米 14 12+256G,4299,2.0,8598.0,U0090,内蒙古,待发货
DD202402159,2024-10-29,京东,P032,太平鸟 牛仔裤,¥259,5.0,1295.0,U0074,青海,已完成
DD202402742,2024-12-09,天猫,P009,小米手环8,249,1.0,249.0,,上海,已完成
DD202402008,2024-07-11,京东,P003,华为 mate 60 pro,6999,5.0,34995.0,U0020,安徽,已完成
DD202402785,2024-07-15,天猫,P030,南极人 棉袜5双装,29.9,4.0,119.6,U0060,吉林,已完成
DD202401201,2024-08-18,天猫,P008,索尼 WH-1000XM5 耳机,2399,-3.0,-7197.0,U0092,内蒙古,已退款
DD202402947,20241214,天猫,P027,优衣库 圆领T恤,¥79,5.0,395.0,U0035,辽宁,待发货
DD202400153,2024/2/1,拼多多,P037,海飞丝洗发水,59.9,2.0,119.8,U0191,山东,已完成
DD202400018,2024-10-01,,P019,海尔 10kg 滚筒洗衣机,1899,4.0,7596.0,U0125,福建,已发货
DD202402542,20240219,天猫,P039,完美日记 口红,89,2.0,178.0,U0136,四川,已完成
DD202402599,2024-06-13,拼多多,P040,三只松鼠 坚果礼盒,¥99,,,U0089,福建,已发货
DD202401495,2024-06-25,天猫,P042,农夫山泉 矿泉水,36,3.0,108.0,,内蒙古,已取消
DD202401291,2024-09-01,京东,P007,AirPods Pro 2,1899,2.0,3798.0,U0018,黑龙江,已取消
DD202401707,2024-06-12,天猫,P029,阿迪达斯 运动外套,599,-1.0,-599.0,U0127,广东,已退款
DD202401762,2024/3/29,拼多多,P029,阿迪达斯运动外套,599,-1.0,-599.0,U0028,湖北,已退款
DD202402893,2024-03-05,天猫,P022,苏泊尔电饭煲,299,3.0,897.0,U0173,辽宁,已取消
DD202400732,2024-01-24,京东,P002,iphone 15 pro 256g,8999,4.0,35996.0,U0004,青海,已取消
DD202402448,2024-04-30,天猫,P026,小米电视 65寸,2999,4.0,11996.0,U0033,宁夏,已完成
DD202400339,2024-02-13,拼多多,P020,格力 电风扇,199,2.0,398.0,U0191,山东,已完成
DD202401023,2024-05-06,京东,P034,雅诗兰黛 小棕瓶,950,4.0,3800.0,U0037,北京,已完成
DD202402972,2024-08-29,天猫,P042,农夫山泉 矿泉水 ,36,4.0,144.0,U0112,河北,已发货
DD202400860,2024-02-06,天猫,P029,阿迪达斯 运动外套,599,1.0,599.0,U0106,海南,已完成
DD202401167,2024-08-20,京东,P045,金龙鱼 食用油5L,¥89.9,,,U0082,辽宁,已完成
DD202401354,2024-09-04,京东,P018,美的 1.5匹空调,2799,-2.0,-5598.0,U0144,山东,已退款
DD202402212,2024/10/19,拼多多,P043,星巴克 咖啡豆,128,2.0,256.0,U0156,河南,已发货
DD202401317,2024-03-03,拼多多,P041,蒙牛 纯牛奶24盒,¥69.9,5.0,349.5,U0085,内蒙古,已发货
DD202401699,2024-04-01,天猫,P016,得力 A4 打印纸,¥29.9,1.0,29.9,U0128,宁夏,已发货
DD202401716,2024-11-25,京东,P021,米家扫地机器人,1599,3.0,4797.0,U0133,浙江,已完成
DD202400411,2024/8/13,天猫,P044,良品铺子 零食大礼包,¥139,1.0,139.0,U0086,陕西,已取消
DD202400665,2024-12-17,拼多多,P008,索尼 WH-1000XM5 耳机,¥2399,4.0,9596.0,U0167,北京,已取消
DD202402780,2024-05-27,抖音,P022,苏泊尔电饭煲,¥299,5.0,1495.0,U0139,陕西,已发货
DD202401054,2024-06-01,京东,P009,小米手环8,249,4.0,996.0,U0076,青海,待发货
DD202400470,2024/3/30,天猫,P027,优衣库 圆领T恤,¥79,3.0,237.0,U0094,,已完成
DD202401912,2024/11/5,抖音,P041,蒙牛 纯牛奶24盒,¥69.9,1.0,69.9,U0119,内蒙古,已完成
DD202402021,2024-01-06,天猫,P021,米家扫地机器人,1599,1.0,1599.0,U0083,福建,已完成
DD202400034,2024-04-18,拼多多,P040,三只松鼠 坚果礼盒,99,5.0,495.0,U0137,云南,已完成
DD202402725,,京东,P039,完美日记 口红,¥89,4.0,178.0,U0037,辽宁,已完成
DD202402559,2024-10-15,天猫,P027,优衣库 圆领T恤,,1.0,,U0169,重庆,已发货
DD202400548,2024/12/3,天猫,P049,苏泊尔 炒锅,¥159,4.0,636.0,U0085,云南,已发货
DD202400913,2024-10-28,京东,P047,全棉时代 浴巾,79,2.0,158.0,U0122,山东,已完成
DD202401921,2024-12-22,抖音,P008,索尼 wh-1000xm5 耳机,2399,2.0,4798.0,U0168,海南,待发货
DD202400691,2024-08-02,微信小程序,P006,Redmi K70,¥2499,4.0,9996.0,U0190,上海,已发货
DD202401586,2024-05-23,拼多多,P042,农夫山泉 矿泉水,36,4.0,144.0,U0182,甘肃,已完成
DD202402070,2024-08-01,天猫,P001,iPhone 15 128G,,2.0,,U0072,云南,已完成
DD202402095,2024/1/3,京东,P029,阿迪达斯 运动外套,¥599,3.0,1797.0,U0102,吉林,已取消
DD202400633,2024/5/8,天猫,P043,星巴克 咖啡豆,128,1.0,128.0,U0187,浙江,待发货
DD202402068,2024/9/16,天猫,P002,iphone 15 pro 256g,8999,2.0,17998.0,U0190,吉林,已完成
DD202402805,2024-08-01,天猫,P023,九阳破壁机,399,2.0,798.0,U0170,江西,已发货
DD202402610,2024-06-07,京东,P028,李宁 跑步鞋,399,2.0,798.0,U0193,重庆,已完成
DD202401158,2024-03-31,天猫,P045,金龙鱼 食用油5L ,89.9,5.0,449.5,U0028,云南,已完成
DD202400207,2024-08-21,抖音,P011,罗技 mx master 3s 鼠标,¥699,3.0,2097.0,U0142,辽宁,待发货
DD202400634,2024/8/16,天猫,P037,海飞丝 洗发水,59.9,-3.0,-179.7,U0045,青海,已退款
DD202400518,2024-02-27,天猫,P045,金龙鱼 食用油5L,¥89.9,5.0,449.5,U0195,贵州,已完成
DD202402858,2024-10-26,拼多多,P028,李宁 跑步鞋,399,1.0,399.0,U0129,广东,已取消
DD202400813,2024-04-06,京东,P011,罗技 mx master 3s 鼠标,699,2.0,1398.0,U0028,湖北,已完成
DD202402271,2024-09-27,拼多多,P008,索尼 WH-1000XM5 耳机,2399,1.0,2399.0,U0038,安徽,已完成
DD202401006,2024/9/24,微信小程序,P005,荣耀 Magic6,,4.0,,U0029,山东,已完成
DD202400180,2024-01-25,天猫,P045,金龙鱼 食用油5L,89.9,2.0,179.8,U0090,福建,待发货
DD202402424,2024-06-24,天猫,P042,农夫山泉 矿泉水,36,1.0,36.0,U0166,甘肃,待发货
DD202400392,2024-12-30,京东,P026,小米电视 65寸,2999,4.0,11996.0,U0191,宁夏,已完成
DD202400600,,天猫,P029,阿迪达斯运动外套,599,2.0,1198.0,U0057,湖南,待发货
DD202401864,2024-02-10,京东,P050,宜家 收纳箱,¥69,1.0,,U0124,贵州,已完成
DD202400993,2024-09-27,京东,P016,得力 A4 打印纸 ,29.9,-2.0,-59.8,U0021,宁夏,已退款
DD202401735,2024-04-29,京东,P024,戴森V12吸尘器,3290,4.0,13160.0,U0167,辽宁,已完成
DD202401768,2024-09-19,天猫,P009,小米手环8 ,249,5.0,1245.0,U0140,甘肃,已完成
DD202401100,2024-09-16,京东,P011,罗技 MX Master 3S 鼠标,699,5.0,3495.0,U0063,吉林,已完成
DD202401536,2024-08-03,天猫,P027,优衣库 圆领T恤,79,4.0,316.0,U0181,天津,已完成
DD202400058,2024-09-05,拼多多,P040,三只松鼠 坚果礼盒,99,1.0,99.0,U0165,天津,已完成
DD202402897,2024-07-23,京东,P005,荣耀 Magic6,,5.0,,U0141,甘肃,已完成
DD202401552,2024-08-06,京东,P020,格力 电风扇,199,1.0,199.0,U0009,内蒙古,已完成
DD202400323,2024-06-23,拼多多,P022,苏泊尔电饭煲,299,3.0,897.0,U0144,河北,已完成
DD202402002,2024-08-17,拼多多,P025,海尔冰箱 501L ,3999,3.0,11997.0,U0173,黑龙江,已完成
DD202401503,2024-06-12,微信小程序,P047,全棉时代浴巾,79,2.0,158.0,U0020,北京,已完成
DD202402770,2024-02-14,京东,P022,苏泊尔电饭煲,299,3.0,897.0,U0104,黑龙江,已完成
DD202401295,2024-11-06,天猫,P013,戴尔 u2723qe 显示器,3499,2.0,6998.0,U0048,广西,待发货
DD202402264,2024-11-19,拼多多,P039,完美日记 口红,89,5.0,445.0,U0021,河北,已完成
DD202402074,2024-05-24,天猫,P010,小米 充电宝20000mAh,129,3.0,387.0,U0027,吉林,已完成
DD202402983,2024-01-08,抖音,P033,兰蔻 小黑瓶精华,760,3.0,1140.0,U0036,海南,已完成
DD202400795,2024-01-31,拼多多,P031,波司登 羽绒服,1299,2.0,2598.0,U0065,青海,已取消
DD202401144,2024-11-04,拼多多,P001,iPhone 15 128G,5999,5.0,29995.0,U0110,黑龙江,已完成
DD202402502,2024-02-25,天猫,P022,苏泊尔电饭煲,299,1.0,299.0,U0110,河北,已完成
DD202401031,2024-03-06,京东,P050,宜家 收纳箱 ,69,4.0,276.0,U0075,浙江,已发货
DD202402874,2024-03-28,天猫,P047,全棉时代 浴巾,79,3.0,237.0,U0184,黑龙江,已完成
DD202400239,2024-05-13,抖音,P009,小米手环8,249,3.0,747.0,U0102,云南,待发货
DD202401910,2024-12-29,京东,P036,云南白药 牙膏,39.9,5.0,199.5,U0172,重庆,已发货
DD202401994,2024-04-22,天猫,P021,米家扫地机器人,1599,1.0,1599.0,U0135,四川,已完成
DD202400497,2024-10-23,天猫,P037,海飞丝 洗发水,59.9,1.0,59.9,U0003,湖北,已完成
DD202401466,2024/1/5,京东,P038,全棉时代 洗脸巾,49.9,5.0,249.5,U0061,江苏,已完成
DD202400495,2024-12-06,拼多多,P045,金龙鱼 食用油5L,¥89.9,2.0,179.8,U0106,天津,已完成
DD202401131,2024-06-01,天猫,P028,李宁 跑步鞋,399,3.0,1197.0,U0148,湖北,待发货
DD202401926,2024-01-21,抖音,P013,戴尔 U2723QE 显示器,3499,5.0,17495.0,U0005,福建,已完成
DD202401346,2024-08-30,天猫,P017,得力文件夹,15.9,5.0,79.5,U0177,福建,已取消
DD202402735,2024-04-02,京东,P050,宜家 收纳箱,69,3.0,207.0,U0196,福建,已完成
DD202400177,2024-06-14,拼多多,P034,雅诗兰黛 小棕瓶 ,950,4.0,3800.0,U0058,广东,已完成
DD202401171,2024-07-23,拼多多,P039,完美日记口红,¥89,5.0,445.0,U0067,辽宁,待发货
DD202401128,2024-09-10,天猫,P047,全棉时代 浴巾 ,¥79,1.0,79.0,U0039,上海,已完成
DD202402353,2024-09-05,微信小程序,P040,三只松鼠 坚果礼盒,99,1.0,99.0,U0173,黑龙江,已完成
DD202401648,2024-02-24,天猫,P039,完美日记 口红,¥89,,,U0038,重庆,已完成
DD202401953,2024-02-22,微信小程序,P007,AirPodsPro2,,2.0,,U0174,宁夏,已取消
DD202400527,2024-01-04,抖音,P046,网易严选 保温杯,¥99,1.0,99.0,U0075,天津,已完成
DD202402671,2024-11-03,拼多多,P025,海尔冰箱 501L,¥3999,-3.0,-11997.0,U0142,江苏,已退款
DD202400907,2024-12-08,天猫,P001,iPhone 15 128G,"5,999",4.0,23996.0,U0105,黑龙江,已取消
DD202400237,2024/5/1,天猫,P012,机械键盘 87键 ,199,2.0,398.0,U0054,甘肃,已完成
DD202401530,2024-07-24,拼多多,P027,优衣库 圆领T恤,79,3.0,237.0,U0175,四川,待发货
DD202401817,2024-12-06,天猫,,李宁 跑步鞋,399,1.0,399.0,U0096,山东,已完成
DD202402626,2024-04-02,天猫,P006,Redmi K70,2499,2.0,4998.0,U0114,广西,已发货
DD202401833,2024/12/12,京东,P009,小米手环8,249,5.0,1245.0,U0100,广西,已完成
DD202400562,2024-05-27,天猫,P044,良品铺子 零食大礼包,139,2.0,278.0,U0034,广东,已发货
DD202402361,2024-02-20,天猫,P008,索尼 wh-1000xm5 耳机,¥2399,3.0,7197.0,U0137,宁夏,已完成
DD202401812,2024/9/11,京东,P019,海尔 10kg 滚筒洗衣机,1899,5.0,9495.0,U0154,重庆,已取消
DD202402802,2024-07-02,京东,P033,兰蔻 小黑瓶精华 ,760,-3.0,-2280.0,U0120,安徽,已退款
DD202401395,2024-03-27,抖音,P015,华为平板 MatePad 11,2199,5.0,10995.0,U0026,浙江,已完成
DD202401575,2024-07-23,天猫,P010,小米 充电宝20000mAh,¥129,3.0,387.0,U0027,云南,已完成
DD202402940,2024-03-12,京东,P033,兰蔻 小黑瓶精华,¥760,3.0,2280.0,U0122,,已发货
DD202402720,2024-01-12,京东,P049,苏泊尔 炒锅,,2.0,,U0036,黑龙江,已完成
DD202401446,2024-02-07,天猫,P047,全棉时代 浴巾,79,3.0,237.0,U0101,重庆,待发货
DD202402824,20241204,京东,P003,华为 Mate 60 Pro,6999,3.0,20997.0,U0066,上海,待发货
